index,School,Nickname,Location,Conference,Region,Surface,Enrollment,Match,2021 Link,2022 Link
0,Adrian,Bulldogs,"Adrian, MI",MIAA,4.0,Turf,1723.0,Adrian,http://www.adrianbulldogs.com/sports/football/schedule/2021,http://www.adrianbulldogs.com/sports/football/schedule/2022
1,Albion,Britons,"Albion, MI",MIAA,4.0,Turf,1448.0,Albion,http://gobrits.com/sports/football/schedule/2021,http://gobrits.com/sports/football/schedule/2022
2,Albright,Lions,"Reading, PA",MAC,1.0,Turf,1701.0,Albright,http://www.albrightathletics.com/sports/football/schedule/2021,http://www.albrightathletics.com/sports/football/schedule/2022
3,Alfred State,Pioneers,"Alfred, NY",ECFC,1.0,Turf,3482.0,Alfred St.,http://www.alfredstateathletics.com//sports/fball/2021-22/schedule,http://www.alfredstateathletics.com//sports/fball/2022-23/schedule
4,Alfred,Saxons,"Alfred, NY",E8,2.0,Turf,1639.0,Alfred,http://gosaxons.com//sports/football/schedule/2021,http://gosaxons.com//sports/football/schedule/2022
5,Allegheny,Gators,"Meadville, PA",NCAC,4.0,Turf,1711.0,Allegheny,http://www.alleghenysports.com//sports/football/schedule/2021,http://www.alleghenysports.com//sports/football/schedule/2022
6,Alma,Scots,"Alma, MI",MIAA,4.0,Turf,1396.0,Alma College,https://almascots.com/sports/fball/2021-22/schedule,https://almascots.com/sports/fball/2022-23/schedule
7,Alvernia,Golden Wolves,"Reading, PA",MAC,1.0,Turf,1655.0,Alvernia,http://athletics.alvernia.edu//sports/football/schedule/2021,http://athletics.alvernia.edu//sports/football/schedule/2022
8,Amherst,Mammoths,"Amherst, MA",NESCAC,1.0,Turf,1839.0,Amherst,https://athletics.amherst.edu/sports/football/schedule/2021,https://athletics.amherst.edu/sports/football/schedule/2022
9,Anderson,Ravens,"Anderson, IN",HCAC,4.0,Turf,1213.0,Anderson (Ind.),http://athletics.anderson.edu//sports/fball/2021-22/schedule,http://athletics.anderson.edu//sports/fball/2022-23/schedule
10,Anna Maria,Amcats,"Paxton, MA",ECFC,1.0,Turf,924.0,Anna Maria,http://goamcats.com//sports/fball/2021-22/schedule,http://goamcats.com//sports/fball/2022-23/schedule
11,Augsburg,Auggies,"Minneapolis, MN",MIAC,6.0,Turf,2166.0,Augsburg University,http://athletics.augsburg.edu//sports/football/schedule/2021,http://athletics.augsburg.edu//sports/football/schedule/2022
12,Augustana,Vikings,"Rock Island, IL",CCIW,5.0,Turf,2523.0,Augustana College,http://www.athletics.augustana.edu/sports/football/schedule/2021,http://www.athletics.augustana.edu/sports/football/schedule/2022
13,Aurora,Spartans,"Aurora, IL",NACC,5.0,Turf,3679.0,Aurora University,http://athletics.aurora.edu//sports/football/schedule/2021,http://athletics.aurora.edu//sports/football/schedule/2022
14,Austin,Kangaroos,"Sherman, TX",ASC,3.0,Grass,1290.0,Austin College,http://www.acroos.com//sports/fball/2021-22/schedule,http://www.acroos.com//sports/fball/2022-23/schedule
15,Averett,Cougars,"Danville, VA",USAC,3.0,Turf,868.0,Averett,http://www.averettcougars.com/sports/football/schedule/2021,http://www.averettcougars.com/sports/football/schedule/2022
16,Baldwin Wallace,Yellow Jackets,"Berea, OH",OAC,4.0,Turf,2767.0,Baldwin Wallace,http://www.bwyellowjackets.com//sports/fball/2021-22/schedule,http://www.bwyellowjackets.com//sports/fball/2022-23/schedule
17,Bates,Bobcats,"Lewiston, ME",NESCAC,1.0,Turf,1820.0,Bates,https://gobatesbobcats.com//sports/football/schedule/2021,https://gobatesbobcats.com//sports/football/schedule/2022
18,Belhaven,Blazers,"Jackson, MS",ASC,3.0,Turf,1242.0,Belhaven,http://blazers.belhaven.edu//sports/football/schedule/2021,http://blazers.belhaven.edu//sports/football/schedule/2022
