quarter,game_clock,drive_num,drive_count,poss,down,dist,yl,terr,play_type,gain_loss,gnls_to_yl,gnls_to_terr,rusher,run_dir,passer,pass_dir,pass_depth,intended,pass_result,intBy,int_terr,int_yl,pbuBy,hurriedBy,kicker,kick_yards,kick_terr,kick_yl,kick_result,fg_dist,fg_result,xp_type,xp_result,retBy,ret_yards,ret_terr,ret_yl,tackler1,tackler2,fumble_num,fumbleBy,recoveredBy,recovery_team,recov_terr,recov_yl,presnap_pen,penalty,penOn,pen_team,pen_yards,touchdown,no_play,timeout,kneel,away_points_on_play,home_points_on_play,away_points,home_points
1,15:00,1,0,LIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,15:00,1,1,LIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,15:00,1,2,LIU,1,10,-35,LIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,15:00,1,3,LIU,1,10,-35,LIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,15:00,1,4,LIU,,,,,Kickoff,,,,,,,,,,,,,,,,Michael Coney,60,BRY,5,Return,,,,,Anthony Frederick,30,BRY,35,Antwan Spencer,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,14:53,2,0,BRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,14:53,2,1,BRY,1,10,-35,BRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,14:53,2,2,BRY,1,10,-35,BRY,Run,-1.0,34,BRY,Simi Bakare,M,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Simi Bakare,Simi Bakare,BRY,BRY,33,,,,,,,,,,0,0,0.0,0.0
1,14:53,2,3,BRY,2,11,-34,BRY,Run,2.0,36,BRY,Fabrice Mukendi,R,,,,,,,,,,,,,,,,,,,,,,,,Leisaan Hibbert,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,14:53,2,4,BRY,3,9,-36,BRY,Pass,0.0,,,,,Zevi Eckhaus,R, short,Fabrice Mukendi,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,14:53,2,5,BRY,4,9,-36,BRY,Punt,,,,,,,,,,,,,,,,Ethan Gettman,61,LIU,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,14:53,2,6,BRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,13:28,3,0,LIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,13:28,3,1,LIU,1,10,-3,LIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,13:28,3,2,LIU,1,10,-3,LIU,Run,1.0,4,LIU,Pat Bowen,M,,,,,,,,,,,,,,,,,,,,,,,,Darnel Shillingford,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,13:28,3,3,LIU,2,9,-4,LIU,Pass,-2.0,2,LIU,,,Luca Stanzani,,,,Sack,,,,,,,,,,,,,,,,,,,Kenny Dyson Jr.,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,13:28,3,4,LIU,3,11,-2,LIU,Run,4.0,6,LIU,Maurice Smith,M,,,,,,,,,,,,,,,,,,,,,,,,Michael Otty,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,13:28,3,5,LIU,4,7,-6,LIU,Punt,,,,,,,,,,,,,,,,Will Lynch,29,LIU,35,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,13:28,3,6,LIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,11:38,4,0,BRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,11:38,4,1,BRY,1,10,35,LIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,11:38,4,2,BRY,1,10,35,LIU,Pass,0.0,,,,,Zevi Eckhaus,R, short,Anthony Frederick,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,11:38,4,3,BRY,2,10,35,LIU,Run,11.0,24,LIU,Fabrice Mukendi,M,,,,,,,,,,,,,,,,,,,,,,,,Ja'Nyus Morgan,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,11:38,4,4,BRY,1,10,24,LIU,Pass,0.0,,,,,Zevi Eckhaus,L, deep,Landon Ruggieri,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,11:38,4,5,BRY,2,10,24,LIU,Run,0.0,24,LIU,Fabrice Mukendi,M,,,,,,,,,,,,,,,,,,,,,,,,Gralyn Stokes,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,11:38,4,6,BRY,3,10,24,LIU,Pass,18.0,6,LIU,,,Zevi Eckhaus,M, short,Jalen Powell,Complete,,,,,,,,,,,,,,,,,,,Jai Roe,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,11:38,4,7,BRY,1,6,6,LIU,Run,3.0,3,LIU,Fabrice Mukendi,M,,,,,,,,,,,,,,,,,,,,,,,,Antwan Spencer,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,11:38,4,8,BRY,2,3,3,LIU,Pass,0.0,,,,,Zevi Eckhaus,R, short,Anthony Frederick,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,11:38,4,9,BRY,3,3,3,LIU,Run,2.0,1,LIU,Ryan Clark,M,,,,,,,,,,,,,,,,,,,,,,,,Leisaan Hibbert,,,,,,,,,,,,,,,,,0,0,0.0,0.0
1,08:20,4,10,BRY,4,1,1,LIU,Run,1.0,0,LIU,Ryan Clark,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0,6,0.0,0.0
1,08:20,4,11,BRY,,,,,Extra Pt.,,,,,,,,,,,,,,,,Ethan Gettman,,,,,,,Kick,No Good,,,,,Jimmy O'Brien,,,,,,,,,,,,,,,,,0,0,0.0,6.0
1,08:20,4,12,BRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,6.0
1,08:20,4,13,BRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,6.0
