Team Name,School Name,Team Mascot,Conference,Division,Club Code,Club Code 2,NFS Team Code,NCAA ID
Abilene Christian Wildcats,Abilene Christian University,Wildcats,Southland Conference,1AA,ACU,ABC,TXAC,2.0
Acadia University,Acadia University,Acadia University,Atlantic University Sport,Canada,AUC,A,CNAC,
Adams State Grizzlies,Adams State College,Grizzlies,Rocky Mountain Athletic Conference,2,ADA,ASC,COAD,929.0
Adrian Bulldogs,Adrian College,Bulldogs,Michigan Intercollegiate Athletic Association,3,ADR,ADC,MIAD,4.0
Air Force Academy Falcons,United States Air Force Academy,Falcons,Mountain West Conference,1A,AIR,AF,COAF,721.0
Akron Zips,University of Akron,Zips,Mid-American Conference,1A,AKR,ZIP,OHAK,5.0
Alabama A&M Bulldogs,Alabama A&M University,Bulldogs,Southwestern Athletic Conference,1AA,ALA,AAM,ALAM,6.0
Alabama Crimson Tide,University of Alabama,Crimson Tide,Southeastern Conference,1A,AL,ALA,ALUN,8.0
Alabama State Hornets,Alabama State University,Hornets,Southwestern Athletic Conference,1AA,ALH,ALA,ALST,7.0
Alabama-Birmingham Blazers,University of Alabama-Birmingham,Blazers,Conference USA,1A,UAB,ALA,ALBI,9.0
Albany Great Danes,University at Albany,Great Danes,Colonial Athletic Association,1AA,ALB,ABY,NYAB,14.0
Albany State Rams,Albany State University,Rams,Southern Intercollegiate Athletic Conference,2,ASR,ABY,GAAL,13.0
Albion Britons,Albion College,Britons,Michigan Intercollegiate Athletic Association,3,ABB,ABC,MIAB,15.0
Albright Lions,Albright College,Lions,Middle Atlantic Conference,3,ABL,ABC,PAAB,16.0
Alcorn State Braves,Alcorn State University,Braves,Southwestern Athletic Conference,1AA,ALC,ASU,MSAL,17.0
Alderson Broaddus Battlers,Alderson Broaddus University,Battlers,Independent,2,AB,ALD,WVAB,934.0
Alfred Saxons,Alfred University,Saxons,Empire 8 Conference,3,ALF,ALU,NYAF,18.0
Alfred State Pioneers,Alfred State SUNY College of Technology,Pioneers,Independent,3,ASP,AS,NYAL,30170.0
Allegheny Gators,Allegheny College,Gators,North Coast Athletic Conference,3,ALE,ALG,PAAG,19.0
Alma Scots,Alma College,Scots,Michigan Intercollegiate Athletic Association,3,ALM,ALA,MIAM,21.0
Alvernia Golden Wolves,Alvernia University,Golden Wolves,Presidents Athletic Conference,3,ALV,ALU,PAAV,938.0
American,American,American,,OTHER,AMR,A,AMER,
American International Yellow Jackets,American International College,Yellow Jackets,Northeast-10 Conference,2,AI,AIU,MAAI,22.0
Amherst Jeffs,Amherst College,Jeffs,New England Small College Athletic Conference,3,AMH,AC,MAAM,24.0
Anderson Ravens,Anderson University,Ravens,Heartland Collegiate Athletic Conference,3,AND,AU,INAN,939.0
Angelo State Rams,Angelo State University,Rams,Lone Star Conference,2,ANG,ASU,TXAN,25.0
Anna Maria AmCats,Anna Maria College,AmCats,Eastern Collegiate Football Conference,3,AM,AMC,MAAN,26.0
Appalachian State Mountaineers,Appalachian State University,Mountaineers,Sun Belt Conference,1A,APP,ASU,NCAP,27.0
Arizona Christian Firestorm,Arizona Christian University,Firestorm,Independent,NAIA,AC,ACU,AZCH,504994.0
Arizona State Sun Devils,Arizona State University,Sun Devils,Pacific Twelve Conference,1A,ASU,ARZ,AZST,28.0
Arizona Wildcats,University of Arizona,Wildcats,Pacific Twelve Conference,1A,AZ,ARZ,AZUN,29.0
Arkansas Razorbacks,University of Arkansas,Razorbacks,Southeastern Conference,1A,AR,ARK,ARUN,31.0
Arkansas State Red Wolves,Arkansas State University,Red Wolves,Sun Belt Conference,1A,ARW,ARK,ARST,30.0
Arkansas Tech Wonder Boys,Arkansas Tech University,Wonder Boys,Great American Conference,2,ATU,ARK,ARTC,947.0
Arkansas-Monticello Boll Weevils,University of Arkansas-Monticello,Boll Weevils,Great American Conference,2,ARK,ARM,ARMO,8411.0
Arkansas-Pine Bluff Golden Lions,University of Arkansas-Pine Bluff,Golden Lions,Southwestern Athletic Conference,1AA,UAP,ARK,ARPB,2678.0
Army Black Knights,United States Military Academy,Black Knights,Independent,1A,ARM,ARY,NYWP,725.0
Ashland Eagles,Ashland University,Eagles,Great Lakes Intercollegiate Athletic Conference,2,ASH,AU,OHAS,35.0
Assumption Greyhounds,Assumption College,Greyhounds,Northeast-10 Conference,2,ASS,AC,MAAS,36.0
Auburn Tigers,Auburn University,Tigers,Southeastern Conference,1A,AUB,AU,ALAU,37.0
Augsburg Auggies,Augsburg College,Auggies,Minnesota Intercollegiate Athletic Conference,3,AUA,AC,MNAV,38.0
Augustana College Vikings,Augustana College (S.D.),Vikings,Northern Sun Intercollegiate Conference,2,AUG,AC,SDAU,41.0
Augustana Vikings,Augustana College (Ill.),Vikings,College Conference of Illinois and Wisconsin,3,ACV,AC,ILAU,40.0
Aurora Spartans,Aurora University,Spartans,Northern Athletics Conference,3,AUR,ARA,ILAR,42.0
Austin Kangaroos,Austin College,Kangaroos,Southern Collegiate Athletic Conference,3,AUS,AC,TXAU,953.0
Austin Peay Governors,Austin Peay State University,Governors,Ohio Valley Conference,1AA,APY,AUS,TNAP,43.0
Ave Maria Gyrenes,Ave Maria University,Gyrenes,The Sun Conference,NAIA,AVE,AM,FLAV,506346.0
Averett Cougars,Averett University,Cougars,USA South Athletic Conference,3,AVE,AVR,VAAV,44.0
Azusa Pacific Cougars,Azusa Pacific University,Cougars,Great Northwest Athletic Conference,2,AP,APU,CAAZ,30146.0
Bacone Warriors,Bacone College,Warriors,Central States Football League,NAIA,BAC,BC,OKBC,506174.0
Baker Wildcats,Baker University,Wildcats,Heart of America Athletic Conference,NAIA,BAK,BU,KSBA,506059.0
Baldwin-Wallace Yellow Jackets,Baldwin-Wallace College,Yellow Jackets,Ohio Athletic Conference,3,BW,BAL,OHBW,46.0
Ball State Cardinals,Ball State University,Cardinals,Mid-American Conference,1A,BAL,BSU,INBS,47.0
Barry Buccaneers,Barry University,Buccaneers,NO FOOTBALL,1AA,BAB,BAB,FLBA,
