quarter,game_clock,drive_num,drive_count,poss,down,dist,yl,terr,play_type,gain_loss,gnls_to_yl,gnls_to_terr,rusher,run_dir,passer,pass_dir,pass_depth,intended,pass_result,intBy,int_terr,int_yl,pbuBy,hurriedBy,kicker,kick_yards,kick_terr,kick_yl,kick_result,fg_dist,fg_result,xp_type,xp_result,retBy,ret_yards,ret_terr,ret_yl,tackler1,tackler2,fumble_num,fumbleBy,recoveredBy,recovery_team,recov_terr,recov_yl,presnap_pen,penalty,penOn,pen_team,pen_yards,touchdown,no_play,timeout,kneel,away_points_on_play,home_points_on_play,away_points,home_points,play_duration,est_game_clock,sec_remaining_half
1,15:00,1,1,MUHL,,,,,Kickoff,,,,,,,,,,,,,,,,C Fenstermaker,59,MOR,6,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,00:00,15:00,1800
1,15:00,2,4,MOR,1,10,-25,MOR,Run,2.0,27,MOR,Nate Boyle,,,,,,,,,,,,,,,,,,,,,,,,,Derek Rosenow,,,,,,,,,,,,,,,,,0,0,0.0,0.0,00:33,15:00,1800
1,15:00,2,5,MOR,2,8,-27,MOR,Run,3.0,30,MOR,Nate Boyle,,,,,,,,,,,,,,,,,,,,,,,,,Tyler Ekstrom,Peyton Elliott,,,,,,,,,,,,,,,,0,0,0.0,0.0,00:33,14:27,1767
1,15:00,2,6,MOR,3,5,-30,MOR,Run,12.0,42,MOR,Nate Boyle,,,,,,,,,,,,,,,,,,,,,,,,,Griffin Zobel,,,,,,,,,,,,,,,,,0,0,0.0,0.0,00:33,13:54,1734
1,15:00,2,7,MOR,1,10,-42,MOR,Pass,0.0,,,,,Jared Jenkins,,,Brad Bryan,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,00:16,13:21,1701
1,15:00,2,8,MOR,2,10,-42,MOR,Pass,27.0,31,MUHL,,,Jared Jenkins,,,Nate Boyle,Complete,,,,,,,,,,,,,,,,,,,Peyton Elliott,Owen Kovacs,,,,,,,,,,,,,,,,0,0,0.0,0.0,00:16,13:05,1685
1,15:00,2,9,MOR,1,10,31,MUHL,Run,2.0,29,MUHL,Nate Boyle,,,,,,,,,,,,,,,,,,,,,,,,,Peyton Elliott,J Armstrong,,,,,,,,,,,,,,,,0,0,0.0,0.0,00:33,12:49,1669
1,15:00,2,10,MOR,2,8,29,MUHL,Pass,3.0,26,MUHL,,,Jared Jenkins,,,Camron Tinajero,Complete,,,,,,,,,,,,,,,,,,,Griffin Zobel,,,,,,,,,,,,,,,,,0,0,0.0,0.0,00:16,12:16,1636
1,15:00,2,11,MOR,3,5,26,MUHL,Run,7.0,19,MUHL,Nate Boyle,,,,,,,,,,,,,,,,,,,,,,,,,Owen Kovacs,,,,,,,,,,,,,,,,,0,0,0.0,0.0,00:33,11:59,1619
1,15:00,2,12,MOR,1,10,19,MUHL,Run,1.0,18,MUHL,Nate Boyle,,,,,,,,,,,,,,,,,,,,,,,,,K McDowdell,,,,,,,,,Holding,,MOR,10,,1.0,,,0,0,0.0,0.0,00:33,11:27,1587
1,15:00,2,13,MOR,1,20,29,MUHL,Pass,0.0,,,,,Jared Jenkins,,,Jordan Lewis,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,00:16,10:54,1554
1,15:00,2,14,MOR,2,20,29,MUHL,Pass,0.0,,,,,Jared Jenkins,,,Jordan Bingham,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,00:16,10:37,1537
1,15:00,2,15,MOR,3,20,29,MUHL,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,False Start,,MOR,5,,,,,0,0,0.0,0.0,00:16,10:21,1521
1,15:00,2,16,MOR,3,25,34,MUHL,Pass,10.0,24,MUHL,,,Jared Jenkins,,,Jordan Bingham,Complete,,,,,,,,,,,,,,,,,,,Matt Giuliano,,,,,,,,,,,,,,,,,0,0,0.0,0.0,00:16,10:04,1504
1,15:00,2,17,MOR,4,15,24,MUHL,Pass,18.0,6,MUHL,,,Jared Jenkins,,,Jordan Bingham,Complete,,,,,,,,,,,,,,,,,,,Matt Giuliano,,,,,,,,,,,,,,,,,0,0,0.0,0.0,00:16,09:48,1488
